,cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,cod_depe2,rural_rbd,cod_ense2,cod_jor,mrun,gen_alu_x,edad_alu,cod_reg_alu,prom_gral,asistencia,codigo_unico,gen_alu_y,anio_ing_carr_ori,tipo_inst_3,_merge
64333,13,RM,13125,QUILICURA,2,0,7,3,14522544,2,18,13,"4,3",93,I111S21C145J1V1,2,2021,Institutos Profesionales,both
67659,5,VALPO,5109,VIÑA DEL MAR,2,0,5,3,25518242,2,18,5,"6,8",100,I72S1C237J1V1,2,2021,Universidades Estatales CRUCH,both
24359,10,LAGOS,10303,PURRANQUE,1,0,7,3,12845763,1,17,10,"5,8",100,I430S25C78J1V1,1,2021,Centros de Formación Técnica,both
3680,3,ATCMA,3301,VALLENAR,2,0,5,1,15596862,2,17,3,"6,5",95,I79S1C172J1V1,2,2021,Universidades Estatales CRUCH,both
66561,13,RM,13128,RENCA,1,0,7,3,11520105,2,19,13,6,4,I218S1C111J1V2,2,2021,Centros de Formación Técnica,both
44475,13,RM,13115,LO BARNECHEA,2,0,7,3,20248460,2,17,13,"6,5",91,I111S6C107J1V1,2,2021,Institutos Profesionales,both
10879,6,LGBO,6101,RANCAGUA,2,0,5,3,16466426,2,17,6,"5,9",95,I3S1C67J1V1,2,2021,Universidades Privadas CRUCH,both
58106,13,RM,13201,PUENTE ALTO,2,0,5,3,21985014,2,17,13,"6,8",100,I71S1C780J1V1,2,2021,Universidades Estatales CRUCH,both
10351,6,LGBO,6101,RANCAGUA,1,0,7,3,14195491,2,17,6,"6,6",100,I430S16C39J1V2,2,2021,Centros de Formación Técnica,both
36520,13,RM,13109,LA CISTERNA,2,0,5,3,19817271,2,17,13,"6,9",100,I4S9C503J1V1,2,2021,Universidades Privadas,both
52273,10,LAGOS,10101,PUERTO MONTT,2,0,5,1,21343131,2,17,11,7,85,I90S2C97J1V1,2,2021,Universidades Privadas CRUCH,both
18691,8,BBIO,8110,TALCAHUANO,1,0,7,3,13663403,1,21,8,"4,5",85,I139S3C34J2V1,1,2021,Institutos Profesionales,both
47,15,AYP,15101,ARICA,5,0,5,3,21292474,1,17,9,7,97,I80S1C67J1V2,1,2021,Universidades Estatales CRUCH,both
27771,13,RM,13108,INDEPENDENCIA,2,0,5,3,9367533,2,18,13,"6,3",100,I71S1C24J1V1,2,2021,Universidades Estatales CRUCH,both
60319,13,RM,13110,LA FLORIDA,3,0,5,3,13710968,1,18,2,"6,4",100,I85S4C201J1V1,1,2021,Universidades Estatales CRUCH,both
45503,1,TPCA,1101,IQUIQUE,2,0,5,3,20466285,1,17,1,"6,7",100,I100S15C304J1V1,1,2021,Institutos Profesionales,both
